"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-128]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[blackman-256-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-512-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[8-100]",""
"passed","Mon Oct 17 10:45:51 GMT 2022","Mon Oct 17 10:45:51 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_same_x_y[32]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-2]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[500-44100]",""
"failed","Mon Oct 17 10:46:11 GMT 2022","Mon Oct 17 10:46:13 GMT 2022","1927","tests.gui","test_front","","","","test_front_change_opacity_up_down[1]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-128-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-256-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-512-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[500-10000]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-1]",""
"failed","Mon Oct 17 10:45:59 GMT 2022","Mon Oct 17 10:46:00 GMT 2022","619","tests.gui","test_front","","","","test_front_draggable_window[0--100]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[1-100]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-16]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_in_",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[500-22050]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-64-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[32-1024-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[1-1]",""
"failed","Mon Oct 17 10:46:17 GMT 2022","Mon Oct 17 10:46:20 GMT 2022","2034","tests.gui","test_front","","","","test_front_size_grip[-200--100]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[bartlett-256-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[1-32]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-1024-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[100-512]",""
"failed","Mon Oct 17 10:45:56 GMT 2022","Mon Oct 17 10:45:56 GMT 2022","529","tests.gui","test_front","","","","test_front_draggable_window[100-0]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[10000-22050]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-64]",""
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[blackman-512-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 10:45:50 GMT 2022","Mon Oct 17 10:45:50 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[8-1]",""
"failed","Mon Oct 17 10:46:08 GMT 2022","Mon Oct 17 10:46:10 GMT 2022","1640","tests.gui","test_front","","","","test_front_change_opacity_up_down[-1]",""
