"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 17 11:11:39 GMT 2022","Mon Oct 17 11:11:39 GMT 2022","574","tests.gui","test_front","","","","test_front_draggable_window[100-100]",""
"failed","Mon Oct 17 11:11:58 GMT 2022","Mon Oct 17 11:12:00 GMT 2022","1816","tests.gui","test_front","","","","test_front_size_grip[-200--100]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[1-32]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_change_spectrum_level[1-4]",""
"failed","Mon Oct 17 11:11:37 GMT 2022","Mon Oct 17 11:11:38 GMT 2022","540","tests.gui","test_front","","","","test_front_draggable_window[100-0]",""
"failed","Mon Oct 17 11:11:44 GMT 2022","Mon Oct 17 11:11:45 GMT 2022","896","tests.gui","test_front","","","","test_front_draggable_window[-100--100]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_same_x_y[8]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[1-512-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-128-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-2]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-128-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[1000-10000]",""
"failed","Mon Oct 17 11:11:49 GMT 2022","Mon Oct 17 11:11:51 GMT 2022","1694","tests.gui","test_front","","","","test_front_change_opacity_up_down[-1]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[32-512-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_x_res[1]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[2500-44100]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-512]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[100-128]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-1024-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[bartlett-128-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_device","","","","test_device_stream_is_singleton[Mic]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[blackman-128-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[1-64-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[1000-22050]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","61","tests.unit","test_device","","","","test_device_is_singleton[Mic]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[1-16]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[32-64-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[32-1]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[32-256-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[8-100]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_in_",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-1]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_device","","","","test_device_is_singleton[MockDevice]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_device","","","","test_device_stream_is_singleton[MockDevice]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-1024-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[1-1]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-16]",""
"failed","Mon Oct 17 11:11:41 GMT 2022","Mon Oct 17 11:11:41 GMT 2022","646","tests.gui","test_front","","","","test_front_draggable_window[0--100]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-64]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-256-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[2500-22050]",""
"passed","Mon Oct 17 11:11:33 GMT 2022","Mon Oct 17 11:11:33 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-64-100]","
    Check fft spectrum decimation
    "
