"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_device","","","","test_device_stream_is_singleton[Mic]",""
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-8]",""
"failed","Mon Oct 17 11:02:29 GMT 2022","Mon Oct 17 11:02:30 GMT 2022","1425","tests.gui","test_front","","","","test_front_change_opacity_up_down[1]",""
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[100-256]",""
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-1024-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-512-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[100-64]",""
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-512-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-64-100]","
    Check fft spectrum decimation
    "
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_x_res[8]",""
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-512]",""
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-2]",""
"failed","Mon Oct 17 11:02:31 GMT 2022","Mon Oct 17 11:02:33 GMT 2022","1592","tests.gui","test_front","","","","test_front_size_grip[200-100]",""
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[bartlett-1024-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[blackman-128-100]","
    Check fft time-data smoothing
    "
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[20000-44100]",""
"passed","Mon Oct 17 11:02:12 GMT 2022","Mon Oct 17 11:02:12 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_same_x_y[32]",""
