"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-128-100]","
    Check fft spectrum decimation
    "
"failed","Tue Oct 18 14:42:40 GMT 2022","Tue Oct 18 14:42:41 GMT 2022","479","tests.gui","test_front","","","","test_front_draggable_window[-100--100]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_x_res[32]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[1000-22050]",""
"failed","Tue Oct 18 14:42:43 GMT 2022","Tue Oct 18 14:42:44 GMT 2022","481","tests.gui","test_front","","","","test_front_change_opacity_up_down[-1]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-64]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","40","tests.unit","test_device","","","","test_device_is_singleton[Mic]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_in_",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","1","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-512]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[blackman-512-100]","
    Check fft time-data smoothing
    "
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[100-128]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[1-1]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_x_res[1]",""
"failed","Tue Oct 18 14:42:48 GMT 2022","Tue Oct 18 14:42:49 GMT 2022","493","tests.gui","test_front","","","","test_front_size_grip[-200--100]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-8]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-256-100]","
    Check fft time-data smoothing
    "
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[2500-44100]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[1-1024-100]","
    Check fft spectrum decimation
    "
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","1","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-2]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[500-10000]",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","0","tests.unit","test_selector","","","","test_selector_is_singleton",""
"passed","Tue Oct 18 14:42:30 GMT 2022","Tue Oct 18 14:42:30 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[8-100]",""
