"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[2500-44100]",""
"failed","Tue Oct 18 14:49:08 GMT 2022","Tue Oct 18 14:49:09 GMT 2022","536","tests.gui","test_front","","","","test_front_change_opacity_up_down[1]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[1-100]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[100-128]",""
"failed","Tue Oct 18 14:49:11 GMT 2022","Tue Oct 18 14:49:12 GMT 2022","536","tests.gui","test_front","","","","test_front_size_grip[-200--100]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[bartlett-512-100]","
    Check fft time-data smoothing
    "
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","1","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_y[1-1]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[2500-22050]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","1","tests.unit","test_fft","","","","test_fft_change_spectrum_level[1-4]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_stream_adapter","","","","test_stream_adapter_data_out_same_x_y[8]",""
"failed","Tue Oct 18 14:49:00 GMT 2022","Tue Oct 18 14:49:01 GMT 2022","541","tests.gui","test_front","","","","test_front_draggable_window[0--100]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_amplitude_spectrum[10000-44100]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","1","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-64-100]","
    Check fft time-data smoothing
    "
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-128-100]","
    Check fft time-data smoothing
    "
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[blackman-128-100]","
    Check fft time-data smoothing
    "
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_device","","","","test_device_is_singleton[MockDevice]",""
"failed","Tue Oct 18 14:49:10 GMT 2022","Tue Oct 18 14:49:10 GMT 2022","542","tests.gui","test_front","","","","test_front_size_grip[200-100]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[32-256-100]","
    Check fft spectrum decimation
    "
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[1-8]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_change_spectrum_level[100-4]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","1","tests.unit","test_fft","","","","test_fft_decimate_spectrum[8-64-100]","
    Check fft spectrum decimation
    "
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_decimate_spectrum[1-256-100]","
    Check fft spectrum decimation
    "
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-1024]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_normalize_spectrum[1-512]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_device","","","","test_device_stream_is_singleton[MockDevice]",""
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[hamming-1024-100]","
    Check fft time-data smoothing
    "
"passed","Tue Oct 18 14:48:53 GMT 2022","Tue Oct 18 14:48:53 GMT 2022","0","tests.unit","test_fft","","","","test_fft_get_smoothed_time_data[bartlett-256-100]","
    Check fft time-data smoothing
    "
